지점,지점명,일시,SPI6
101,춘천,2016-01-11,-1.244
101,춘천,2016-01-12,-1.187
101,춘천,2016-01-13,-1.121
101,춘천,2016-01-14,-1.097
101,춘천,2016-01-15,-1.123
101,춘천,2016-01-16,-1.093
101,춘천,2016-01-17,-1.084
101,춘천,2016-01-18,-1.04
101,춘천,2016-01-19,-1.278
101,춘천,2016-01-20,-1.48
101,춘천,2016-01-21,-1.795
101,춘천,2016-01-22,-2.034
101,춘천,2016-01-23,-1.823
101,춘천,2016-01-24,-1.719
101,춘천,2016-01-25,-1.679
101,춘천,2016-01-26,-1.685
101,춘천,2016-01-27,-1.615
101,춘천,2016-01-28,-1.621
101,춘천,2016-01-29,-1.682
101,춘천,2016-01-30,-1.578
101,춘천,2016-01-31,-1.493
101,춘천,2016-02-01,-1.504
101,춘천,2016-02-02,-1.445
101,춘천,2016-02-03,-1.37
101,춘천,2016-02-04,-1.363
101,춘천,2016-02-05,-1.34
101,춘천,2016-02-06,-1.302
101,춘천,2016-02-07,-1.3
101,춘천,2016-02-08,-1.226
101,춘천,2016-02-09,-1.085
101,춘천,2016-02-10,-1.037
101,춘천,2016-02-11,-.949
101,춘천,2016-02-12,-.758
101,춘천,2016-02-13,-.56
101,춘천,2016-02-14,-.463
101,춘천,2016-02-15,-.407
101,춘천,2016-02-16,-.372
101,춘천,2016-02-17,-.325
101,춘천,2016-02-18,-.289
101,춘천,2016-02-19,-.234
101,춘천,2016-02-20,-.216
101,춘천,2016-02-21,-.197
101,춘천,2016-02-22,-.147
101,춘천,2016-02-23,-.027
101,춘천,2016-02-24,.027
101,춘천,2016-02-25,.071
101,춘천,2016-02-26,.105
101,춘천,2016-02-27,.138
101,춘천,2016-02-28,.287
101,춘천,2016-03-01,.37
101,춘천,2016-03-02,.401
101,춘천,2016-03-03,.421
101,춘천,2016-03-04,.428
101,춘천,2016-03-05,.799
101,춘천,2016-03-06,.808
101,춘천,2016-03-07,.818
101,춘천,2016-03-08,.852
101,춘천,2016-03-09,.997
101,춘천,2016-03-10,1.097
101,춘천,2016-03-11,1.119
101,춘천,2016-03-12,1.187
101,춘천,2016-03-13,1.226
101,춘천,2016-03-14,1.259
101,춘천,2016-03-15,1.263
101,춘천,2016-03-16,1.389
101,춘천,2016-03-17,1.462
101,춘천,2016-03-18,1.565
101,춘천,2016-03-19,1.629
101,춘천,2016-03-20,1.679
101,춘천,2016-03-21,1.677
101,춘천,2016-03-22,1.661
101,춘천,2016-03-23,1.725
101,춘천,2016-03-24,1.693
101,춘천,2016-03-25,1.717
101,춘천,2016-03-26,1.754
101,춘천,2016-03-27,1.753
101,춘천,2016-03-28,1.732
101,춘천,2016-03-29,1.73
101,춘천,2016-03-30,1.517
101,춘천,2016-03-31,1.496
101,춘천,2016-04-01,1.501
101,춘천,2016-04-02,1.495
101,춘천,2016-04-03,1.542
101,춘천,2016-04-04,1.544
101,춘천,2016-04-05,1.541
101,춘천,2016-04-06,1.509
101,춘천,2016-04-07,1.57
101,춘천,2016-04-08,1.513
101,춘천,2016-04-09,1.535
101,춘천,2016-04-10,1.541
101,춘천,2016-04-11,1.546
101,춘천,2016-04-12,1.454
101,춘천,2016-04-13,1.442
101,춘천,2016-04-14,1.399
101,춘천,2016-04-15,1.411
101,춘천,2016-04-16,1.648
101,춘천,2016-04-17,1.851
101,춘천,2016-04-18,1.889
101,춘천,2016-04-19,1.897
101,춘천,2016-04-20,1.972
101,춘천,2016-04-21,2.12
101,춘천,2016-04-22,2.015
101,춘천,2016-04-23,1.957
101,춘천,2016-04-24,1.878
101,춘천,2016-04-25,1.81
101,춘천,2016-04-26,1.788
101,춘천,2016-04-27,1.79
101,춘천,2016-04-28,1.728
101,춘천,2016-04-29,1.718
101,춘천,2016-04-30,1.735
101,춘천,2016-05-01,1.716
101,춘천,2016-05-02,1.706
101,춘천,2016-05-03,1.951
101,춘천,2016-05-04,2.093
101,춘천,2016-05-05,2.103
101,춘천,2016-05-06,1.925
101,춘천,2016-05-07,1.651
101,춘천,2016-05-08,1.59
101,춘천,2016-05-09,1.607
101,춘천,2016-05-10,1.741
101,춘천,2016-05-11,1.698
101,춘천,2016-05-12,1.395
101,춘천,2016-05-13,1.069
